,thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length
0,https://i.ytimg.com/vi/XFQl6ubbZ6U/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDyc0JqG_STknsiG6hceWWce5p3GA,이승철 서쪽하늘 가사,인물/블로그,"조회수 1,620,583회",7.8천개,401개,2016. 10. 30.,4:06
1,https://i.ytimg.com/vi/WfN6rUWUyM8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC-7fm2OsMu1bJvuhUt1Zf2IU65zQ,20160925 대전콘 김경호 - 영원의성,인물/블로그,조회수 949회,18개,1개,2016. 9. 25.,5:56
2,https://i.ytimg.com/vi/b1M-AC1SO-w/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAOIiAlL7UbAjtZwmUfctLxhCvz5w,아웃사이더 외톨이(가사),인물/블로그,"조회수 3,322,375회",1.6만개,759개,2016. 8. 26.,3:09
3,https://i.ytimg.com/vi/BHbmnZUZ6Zk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAEAQ2Vc4BQ5GMVAETWOOsvzRj1uw,김경호 - 금지된 사랑 가사,인물/블로그,"조회수 75,703회",351개,13개,2016. 5. 21.,4:34
4,https://i.ytimg.com/vi/UrvgTbzGCDU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAZ_xeuvewDLyuNbM-PX4hwAgQRaw,김경호 와인 가사,인물/블로그,"조회수 44,435회",253개,10개,2016. 4. 26.,4:54
