,thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length
17,https://i.ytimg.com/vi/zOkqk38QGlY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAeH6PahU7W5BPMoYGSSZAIYT-8VA,대한민국 정부의 비밀실험 폭로?!,비영리/사회운동,"조회수 646,330회",1.5만개,235개,2019. 10. 19.,4:20
18,https://i.ytimg.com/vi/LCCYq7lvx8A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDajQ9eQvVWEm8jTo0vcN04HvuPWw,외국인들이 한국편의점에서 미쳐버리는 이유?,엔터테인먼트,"조회수 906,566회",1.9만개,324개,2019. 10. 14.,6:25
19,https://i.ytimg.com/vi/IbUc6yok274/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBVN_aVySOaTBFYiGA-Mv85r6N09g,러시아 여행할 때 절대 가면 안 되는 장소가 있다?,여행/이벤트,"조회수 1,720,549회",2.4만개,471개,2019. 10. 11.,5:42
20,https://i.ytimg.com/vi/ibpbUtMzWEI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCohdydnn7WdrcSCttUm40IzVJhvg,한국인이 러시아에 가면 맞을까?,여행/이벤트,"조회수 1,614,849회",2.8만개,722개,2019. 10. 7.,6:37
21,https://i.ytimg.com/vi/MxxlVrI1svc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDW6aP_r568NiQAk94FW3ZwPQ2Ygg,성공한 사람의 아이폰11 Pro 언박싱,과학기술,"조회수 2,119,022회",4.3만개,1.3천개,2019. 10. 4.,5:51
22,https://i.ytimg.com/vi/tzf9_7S8jaU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDCOI_p1nm8hiUVPKM-uRuS-t1qXA,한국의 미스테리 비밀단체에 잠입한 외국인,코미디,"조회수 512,833회",1.2만개,161개,2019. 9. 29.,5:26
23,https://i.ytimg.com/vi/CAoY6iNn2Vg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCltsAuVIkIirlSTQvQaMsNM6db5g,불닭볶음면 먹고 죽은 외국인,인물/블로그,"조회수 2,540,005회",4.9만개,1.9천개,2019. 9. 26.,6:52
24,https://i.ytimg.com/vi/eDA3p2raR3U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBHAGicU9W-SCBmXGpyktb27yS3BA,한국 편의점 복권 10만원으로 인생역전한 외국인,노하우/스타일,"조회수 1,997,852회",3만개,803개,2019. 9. 22.,6:08
25,https://i.ytimg.com/vi/xu5QtLW-4jo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBrPAqe_AYV8JiPk6mZ-_0qkPDsLQ,명륜진사갈비 먹고 미쳐버린 외국인,노하우/스타일,"조회수 1,506,331회",2.8만개,495개,2019. 9. 19.,5:11
26,https://i.ytimg.com/vi/6OH8Re5MPVI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAwgyiSKAp67Vs2YiHZvNUJPEW4nQ,인기 유튜버 소련여자의 정체를 공개합니다,과학기술,"조회수 1,145,784회",2.7만개,387개,2019. 9. 15.,6:18
27,https://i.ytimg.com/vi/7uO6N9WKeBs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBScGc28EZiKumqDRmsWF9alik-mA,외국인이 생각하는 손흥민 축구실력,스포츠,"조회수 1,138,656회",2.2만개,463개,2019. 9. 11.,5:48
28,https://i.ytimg.com/vi/Zmc8C6PWwPI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBy78NphABV_ATcPoVgIKtq73eYEg,미드 체르노빌 러시아인 반응,영화/애니메이션,"조회수 777,840회",1.9만개,306개,2019. 9. 8.,6:31
29,https://i.ytimg.com/vi/0L7vZjXtULQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCJJEbo0zo6yGOdH970Jr416vFi1g,5만원으로 유튜브 시작하는 법,노하우/스타일,"조회수 1,015,369회",2.5만개,361개,2019. 9. 4.,5:46
30,https://i.ytimg.com/vi/lzYkIRsM4Is/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB9ZDzLyOEiYD3zfYhgrEg8y50p5Q,천국 가는 방법 알려준다,상연,"조회수 1,272,030회",2.8만개,414개,2019. 9. 1.,10:03
31,https://i.ytimg.com/vi/ye6_p3ycPrU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAqVZn_gT6_QFSfKHhsk2Oria6xKQ,서울 지하철 1호선 외국인 반응,코미디,"조회수 1,138,820회",3만개,433개,2019. 8. 27.,5:05
32,https://i.ytimg.com/vi/b51db_9ZLho/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDxLhE_CwobIQ8kMDpu2DMiJHzYnQ,애국 보드카 병뚜껑 챌린지,스포츠,"조회수 482,985회",1.7만개,145개,2019. 8. 24.,0:12
33,https://i.ytimg.com/vi/Y8Is8L7ExEw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCPSYKtveLbC3ytlzqmXKe3wFzErA,동영상 5개로 20일만에 구독자 14만 모으는 방법,노하우/스타일,"조회수 917,280회",3.1만개,443개,2019. 8. 21.,5:25
34,https://i.ytimg.com/vi/rxknz6w-f8U/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBzYN7tbySyOyRsP1wjAIUJVcjQtw,일본 불매운동 외국인 반응,뉴스/정치,"조회수 1,013,383회",4.9만개,1천개,2019. 8. 15.,6:01
35,https://i.ytimg.com/vi/dr1sNzRu2Hc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBkpb8Cs5bXW-ZxNE4QzG3_geW2Yg,"컴퓨터 조립하는 외국인 여자 (라이젠, 리사 수, AMD)",과학기술,"조회수 723,086회",2.1만개,356개,2019. 8. 13.,4:22
36,https://i.ytimg.com/vi/M10ONBZ1Gmo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCFy10pxpbT7Qf6j4s5Pc_FHctHpg,호날두 한국 불매운동 외국인 반응,스포츠,"조회수 1,004,022회",2.6만개,427개,2019. 8. 9.,1:56
37,https://i.ytimg.com/vi/IfoqQfoh9u8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGV7D6vt_RI25iUYzlKz39rG6CEA,외국인이 호날두 한국 노쇼를 해외 언론에 알린 이유,Homun K,"조회수 1,206,912회",3.4만개,433개,2019. 8. 5.,2:54
38,https://i.ytimg.com/vi/PLdNKXApQpw/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCpeZLJi01k1y_XAPAwVjnG4YsoOQ,호날두 유니폼 불태우는 빡친 외국인,스포츠,"조회수 996,920회",2.3만개,438개,2019. 7. 31.,1:06
