,thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date
16,https://i.ytimg.com/vi/zKlhSctHrHo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDemeQQNmST5yClFPfWkfaI1QBVpQ,태어난지 한달 된 새끼고양이들의 귀여운 사냥 놀이,동물,"조회수 26,086회",1.2천개,3개,2019. 11. 23.
17,https://i.ytimg.com/vi/nH-OknI6fAY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC0bQ-D5qWIe5E9Pi-aE_-SZCMD9A,낯선 고양이를 처음 본 아깽이들의 깜찍한 반응,동물,"조회수 135,212회",3.8천개,44개,2019. 11. 20.
18,https://i.ytimg.com/vi/RdE9DmThWzQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBMZaBbco2tqxFn6EanwBUyiAT7Qg,아깽이들에게 관심 받고 싶은 어미냥이의 귀여운 행동,동물,"조회수 27,936회",1.6천개,9개,2019. 11. 17.
19,https://i.ytimg.com/vi/x5k2tigFOqA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLArbCCuPxktyzqWFZAGEyrgYfLNlg,분리수거장 새끼고양이 오둥이 랜선집사님들께 인사드립니다!,동물,"조회수 69,925회",3.7천개,25개,2019. 11. 14.
20,https://i.ytimg.com/vi/0q-TQ6pFDFM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDI7omr2twJgQDOSxYINWRBrwx0AA,도와달라는 어미냥이와 새끼고양이 오둥이 결국 구조했습니다,동물,"조회수 215,963회",8.8천개,83개,2019. 11. 11.
21,https://i.ytimg.com/vi/WD_B_xjd-Ag/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhGntL0pSA7tzFxn1bbg19qUx7gA,분리수거장 새끼고양이 오둥이 발견 그 후,동물,"조회수 31,633회",1.3천개,11개,2019. 11. 6.
22,https://i.ytimg.com/vi/0QVwGSByG2w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDBEOpm4GhJLAM2wPAT85toujvapg,분리수거장에서 발견된 눈도 못 뜬 새끼고양이 오둥이,동물,"조회수 14,818회",768개,8개,2019. 11. 3.
23,https://i.ytimg.com/vi/VtgeZxDKF5Y/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDhwrvgsvxHOlDo9oQoFBHAgf4vYg,고양이 마취 부작용? 중성화 수술 직후 고양이에게 일어나는 일,동물,"조회수 3,531회",274개,3개,2019. 10. 31.
24,https://i.ytimg.com/vi/UyOE4Xp8pDM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBVApU1zeRuuBnb_3Szz5j77Rc8QQ,보기만 해도 힐링되는 졸린 고양이의 사랑스러운 모습,동물,조회수 954회,116개,0개,2019. 10. 28.
25,https://i.ytimg.com/vi/ZLkOpcTFySs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCF5obaiDf9amtmjuhK77FSEUVmxA,[고양이 눈키스] 말걸면 눈인사로 대답해주는 대답냥이,동물,"조회수 1,976회",181개,0개,2019. 10. 24.
